"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HERV3_7q34a",6.09467508445755,3.97936979200944,0.419964748106309,100.131079761308,1.42637576851016e-23,1.67777449771008e-21
"MER4_6p12.1",30.3149425272407,8.60515286251152,0.798432166627743,99.5396063594807,1.92279370130911e-23,2.19315014900833e-21
"HERVH_14q11.2a",23.952048500138,3.49806342567238,0.37126979241626,96.911782937388,7.24860220546661e-23,8.02462902981656e-21
"HML2_5q33.3",13.5293951278121,4.58174566005507,0.481979281730059,96.7751056310732,7.76665129076577e-23,8.17207129940679e-21
"HERVH_12p13.32",12.5638314375163,7.48534215771786,0.753886987699154,96.7625628304234,7.81600868168555e-23,8.17207129940679e-21
"HERVH_7q22.1a",7.1098858281096,2.49518613448373,0.268328621368804,95.7670635808067,1.29227856970737e-22,1.31463149631853e-20
"HUERSP3B_Xq13.2b",17.4188654736001,2.9689846239856,0.320961001862356,95.4675613803556,1.50334568170331e-22,1.48910345945559e-20
"HERVK11_2p14",3.93742414284968,4.08785528813064,0.44000391984596,95.2000866794223,1.72082747763892e-22,1.66081913482895e-20
"HERVE_1p36.12",4.22329393452819,4.27428284355094,0.463962366394151,92.6253961324753,6.3191312432849e-22,5.94630249993109e-20
"HML2_12q14.1",9.65433018624938,6.7265168195746,0.71041282075351,92.5747351837691,6.48297912566276e-22,5.95169108024259e-20
"HARLEQUIN_6p21.33",4.79444585009964,3.39763745587352,0.373873144423741,92.3425084607834,7.29014580580513e-22,6.53335924120251e-20
"HERVH_17q25.3",7.46934958757016,2.41191479488701,0.264144177538383,91.3445347054862,1.20713049622605e-21,1.05666027623136e-19
"HERV9_6p22.3",5.47449149477297,4.81537530555258,0.524661529305219,91.1992385433813,1.29910235517944e-21,1.11132301474896e-19
"HERVL40_9q31.1a",5.79186016832193,2.18503348845761,0.241952884970857,89.6657484112496,2.81995102603521e-21,2.35873236933256e-19
"HERVL_17q11.2",5.56752101008502,2.50393218656396,0.276592576326518,89.5384650682679,3.00734137465586e-21,2.46078976830536e-19
"HML3_16p13.13",4.91924422705558,2.83768230039182,0.320392680493856,88.742620743163,4.49671729504402e-21,3.6012008294778e-19
"MER4_1p12a",20.690566089522,8.24480362508433,0.850731129025327,88.289995546398,5.65286346841403e-21,4.432787103148e-19
"HERV9_13q34",3.49130869466061,4.79585609644619,0.539452265642471,87.9297469080981,6.78210069924619e-21,5.20976061876789e-19
"HUERSP3_8q12.1",2.00196440888343,4.33279842903501,0.490029694858313,87.8492587549098,7.06377061331131e-21,5.31760651770076e-19
"HERVKC4_1q22",5.06929228256276,2.81736500703889,0.320697386268957,85.0579843571735,2.89742403239616e-20,2.05771774678097e-18
"HERVK11_22q11.21",2.51536665592934,2.95857451162574,0.344136298264867,83.715991230484,5.71213039433544e-20,3.98156644523678e-18
"HERVE_20p11.21b",15.5187536886869,5.8525187941871,0.633615428321665,83.0064870523035,8.1784553555074e-20,5.5970374469327e-18
"MER41_12p11.23a",6.97727298584978,6.0511925305499,0.674625312837232,82.7929346281556,9.11150754596016e-20,6.12423471482037e-18
"PRIMA4_14q23.1",5.34644600673415,2.92780421995531,0.340380800457938,82.474356991081,1.07049964700107e-19,7.06905380931938e-18
"ERVLB4_15q21.2",3.29684357020616,2.36433567951077,0.272124257197297,82.4107705096272,1.1054975967293e-19,7.17429819670534e-18
"MER4_3q29e",5.09063375928612,5.68484944696323,0.642063366967881,82.3495963726269,1.14024755957199e-19,7.27439290547283e-18
"HARLEQUIN_8p11.21",5.72438059353806,2.47320686067182,0.282089013243507,82.2694485842054,1.18743437149853e-19,7.44917162386746e-18
"HERVE_17q11.2",2.91637279808755,4.35825756398199,0.503965690761135,81.0590849530166,2.1906893319181e-19,1.3299604266677e-17
"HERVL18_2q23.1",2.74740407827039,4.50915933636433,0.527443573088379,80.9022903581076,2.37158640417599e-19,1.41692876592356e-17
"HERVL40_5q12.3",13.5548229058797,2.14924729684086,0.253999767689212,79.7845700549219,4.17540759128634e-19,2.45566158962528e-17
"HERVP71A_3p26.1",5.60900667348716,3.30100223426077,0.39356870241521,78.8325720372292,6.76032055278109e-19,3.91474562471816e-17
"HARLEQUIN_2q12.3",1.67684424655555,2.81339997824272,0.334463059195417,78.3995231334879,8.41724840595422e-19,4.80038227272904e-17
"HML2_8p23.1a",1.61144054530956,4.3591245015217,0.535783202810063,78.2294795759502,9.17391657200922e-19,5.1150656174875e-17
"MER4_10q23.31a",4.55692254746969,3.05422239552344,0.362881622341539,78.2151260236471,9.2408199253228e-19,5.1150656174875e-17
"HERVL40_1q41",5.18888129751225,2.79212194575422,0.333080071951662,77.6424260974796,1.234889195282e-18,6.64017561577352e-17
"HML2_5p13.3",1.78282432183279,3.59946736236724,0.443786021701982,77.3903941429909,1.40295878407486e-18,7.33435675452467e-17
